sensor_event_id,event_timestamp,machine_id,sensor_type,measurement_unit,degradation_status,degradation_slope,degradation_score,degradation_signal_flag,degradation_reason
EH-000395,2026-01-11 02:00:00+00:00,MACH-03-02-03,vibration,mm_s,calculated,0.049750,41.923000,True,sensor_trend_moving_toward_risk; repeated_warning_breaches
EH-000409,2026-01-12 02:00:00+00:00,MACH-02-01-01,vibration,mm_s,calculated,0.131607,43.799286,True,sensor_trend_moving_toward_risk; repeated_warning_breaches
EH-000351,2026-01-10 02:00:00+00:00,MACH-03-01-02,vibration,mm_s,calculated,-0.110679,41.492000,True,repeated_warning_breaches
EH-000495,2026-01-14 02:00:00+00:00,MACH-03-01-02,vibration,mm_s,calculated,0.021607,17.495286,False,sensor_trend_moving_toward_risk
EH-000335,2026-01-10 02:00:00+00:00,MACH-01-02-03,vibration,mm_s,calculated,0.230643,45.867714,True,sensor_trend_moving_toward_risk; repeated_warning_breaches
EH-000485,2026-01-14 02:00:00+00:00,MACH-02-01-03,vibration,mm_s,calculated,0.294643,21.211714,False,sensor_trend_moving_toward_risk
EH-000347,2026-01-10 02:00:00+00:00,MACH-02-02-03,vibration,mm_s,calculated,0.124000,45.100000,True,sensor_trend_moving_toward_risk; repeated_warning_breaches
EH-000179,2026-01-05 02:00:00+00:00,MACH-03-02-03,vibration,mm_s,calculated,0.787400,51.666800,True,sensor_trend_moving_toward_risk; repeated_warning_breaches
EH-000451,2026-01-13 02:00:00+00:00,MACH-02-02-01,vibration,mm_s,calculated,-0.056643,18.330000,False,calculated
EH-000145,2026-01-05 02:00:00+00:00,MACH-01-01-01,vibration,mm_s,calculated,0.484000,49.194000,True,sensor_trend_moving_toward_risk; repeated_warning_breaches
EH-000235,2026-01-07 02:00:00+00:00,MACH-02-02-01,vibration,mm_s,calculated,0.087536,43.854429,True,sensor_trend_moving_toward_risk; repeated_warning_breaches
EH-000053,2026-01-02 02:00:00+00:00,MACH-02-01-03,vibration,mm_s,insufficient_history,0.000000,0.000000,False,recent_critical_breach
EH-000106,2026-01-03 12:00:00+00:00,MACH-03-02-02,temperature,celsius,insufficient_history,0.000000,0.000000,False,recent_critical_breach
EH-000475,2026-01-14 02:00:00+00:00,MACH-01-02-01,vibration,mm_s,calculated,-0.098643,16.722000,False,calculated
EH-000405,2026-01-12 02:00:00+00:00,MACH-01-02-02,vibration,mm_s,calculated,0.154071,18.746857,False,sensor_trend_moving_toward_risk
EH-000277,2026-01-08 02:00:00+00:00,MACH-03-01-01,vibration,mm_s,calculated,-0.073821,42.432000,True,repeated_warning_breaches
EH-000243,2026-01-07 02:00:00+00:00,MACH-03-01-02,vibration,mm_s,calculated,0.019107,41.949286,True,sensor_trend_moving_toward_risk; repeated_warning_breaches
EH-000465,2026-01-13 02:00:00+00:00,MACH-03-02-02,vibration,mm_s,calculated,0.161464,19.729571,False,sensor_trend_moving_toward_risk
EH-000163,2026-01-05 02:00:00+00:00,MACH-02-02-01,vibration,mm_s,calculated,0.208900,46.126800,True,sensor_trend_moving_toward_risk; repeated_warning_breaches
EH-000169,2026-01-05 02:00:00+00:00,MACH-03-01-01,vibration,mm_s,calculated,0.608100,50.345200,True,sensor_trend_moving_toward_risk; repeated_warning_breaches
EH-000171,2026-01-05 02:00:00+00:00,MACH-03-01-02,vibration,mm_s,calculated,0.218400,44.300800,True,sensor_trend_moving_toward_risk; repeated_warning_breaches
EH-000205,2026-01-06 02:00:00+00:00,MACH-03-01-01,vibration,mm_s,calculated,0.481343,48.154114,True,sensor_trend_moving_toward_risk; repeated_warning_breaches
EH-000359,2026-01-10 02:00:00+00:00,MACH-03-02-03,vibration,mm_s,calculated,-0.133429,16.378000,False,calculated
EH-000365,2026-01-11 02:00:00+00:00,MACH-01-01-03,vibration,mm_s,calculated,0.175821,19.313857,False,sensor_trend_moving_toward_risk
EH-000289,2026-01-09 02:00:00+00:00,MACH-01-01-01,vibration,mm_s,calculated,-0.140393,17.972000,False,calculated
EH-000327,2026-01-10 02:00:00+00:00,MACH-01-01-02,vibration,mm_s,calculated,0.250857,22.170286,False,sensor_trend_moving_toward_risk
EH-000355,2026-01-10 02:00:00+00:00,MACH-03-02-01,vibration,mm_s,calculated,0.168893,18.796714,False,sensor_trend_moving_toward_risk
EH-000173,2026-01-05 02:00:00+00:00,MACH-03-01-03,vibration,mm_s,calculated,-0.040800,41.642000,True,repeated_warning_breaches
EH-000345,2026-01-10 02:00:00+00:00,MACH-02-02-02,vibration,mm_s,calculated,0.005607,17.909286,False,sensor_trend_moving_toward_risk
EH-000317,2026-01-09 02:00:00+00:00,MACH-03-01-03,vibration,mm_s,calculated,0.024107,18.419286,False,sensor_trend_moving_toward_risk
EH-000275,2026-01-08 02:00:00+00:00,MACH-02-02-03,vibration,mm_s,calculated,0.211143,19.883714,False,sensor_trend_moving_toward_risk
EH-000263,2026-01-08 02:00:00+00:00,MACH-01-02-03,vibration,mm_s,calculated,0.048571,18.534857,False,sensor_trend_moving_toward_risk
EH-000259,2026-01-08 02:00:00+00:00,MACH-01-02-01,vibration,mm_s,calculated,0.157821,18.797857,False,sensor_trend_moving_toward_risk
EH-000197,2026-01-06 02:00:00+00:00,MACH-02-01-03,vibration,mm_s,calculated,0.196429,19.335143,False,sensor_trend_moving_toward_risk
EH-000165,2026-01-05 02:00:00+00:00,MACH-02-02-02,vibration,mm_s,calculated,0.716000,26.802000,False,sensor_trend_moving_toward_risk
EH-000229,2026-01-07 02:00:00+00:00,MACH-02-01-01,vibration,mm_s,calculated,0.035893,16.736714,False,sensor_trend_moving_toward_risk
EH-000149,2026-01-05 02:00:00+00:00,MACH-01-01-03,vibration,mm_s,calculated,0.166000,19.360000,False,sensor_trend_moving_toward_risk
EH-000143,2026-01-04 02:00:00+00:00,MACH-03-02-03,vibration,mm_s,insufficient_history,0.000000,0.000000,False,insufficient_history
EH-000127,2026-01-04 02:00:00+00:00,MACH-02-02-01,vibration,mm_s,insufficient_history,0.000000,0.000000,False,repeated_warning_breaches
EH-000467,2026-01-13 02:00:00+00:00,MACH-03-02-03,vibration,mm_s,calculated,0.063893,41.854714,True,sensor_trend_moving_toward_risk; repeated_warning_breaches
EH-000109,2026-01-04 02:00:00+00:00,MACH-01-01-01,vibration,mm_s,insufficient_history,0.000000,0.000000,False,insufficient_history
EH-000135,2026-01-04 02:00:00+00:00,MACH-03-01-02,vibration,mm_s,insufficient_history,0.000000,0.000000,False,repeated_warning_breaches
EH-000091,2026-01-03 02:00:00+00:00,MACH-02-02-01,vibration,mm_s,insufficient_history,0.000000,0.000000,False,repeated_warning_breaches
EH-000473,2026-01-14 02:00:00+00:00,MACH-01-01-03,vibration,mm_s,calculated,0.050321,41.365857,True,sensor_trend_moving_toward_risk; repeated_warning_breaches
EH-000131,2026-01-04 02:00:00+00:00,MACH-02-02-03,vibration,mm_s,insufficient_history,0.000000,0.000000,False,insufficient_history
EH-000141,2026-01-04 02:00:00+00:00,MACH-03-02-02,vibration,mm_s,insufficient_history,0.000000,0.000000,False,insufficient_history
EH-000267,2026-01-08 02:00:00+00:00,MACH-02-01-02,vibration,mm_s,calculated,0.241750,63.369000,True,sensor_trend_moving_toward_risk; recent_critical_breach
EH-000453,2026-01-13 02:00:00+00:00,MACH-02-02-02,vibration,mm_s,calculated,0.084071,40.948857,True,sensor_trend_moving_toward_risk; repeated_warning_breaches
EH-000085,2026-01-03 02:00:00+00:00,MACH-02-01-01,vibration,mm_s,insufficient_history,0.000000,0.000000,False,repeated_warning_breaches
EH-000049,2026-01-02 02:00:00+00:00,MACH-02-01-01,vibration,mm_s,insufficient_history,0.000000,0.000000,False,insufficient_history
EH-000027,2026-01-01 02:00:00+00:00,MACH-03-01-02,vibration,mm_s,insufficient_history,0.000000,0.000000,False,insufficient_history
EH-000065,2026-01-02 02:00:00+00:00,MACH-03-01-03,vibration,mm_s,insufficient_history,0.000000,0.000000,False,insufficient_history
EH-000161,2026-01-05 02:00:00+00:00,MACH-02-01-03,vibration,mm_s,calculated,0.081700,61.966400,True,sensor_trend_moving_toward_risk; recent_critical_breach
EH-000061,2026-01-02 02:00:00+00:00,MACH-03-01-01,vibration,mm_s,insufficient_history,0.000000,0.000000,False,insufficient_history
EH-000496,2026-01-14 12:00:00+00:00,MACH-03-01-02,temperature,celsius,calculated,0.944071,70.826857,True,sensor_trend_moving_toward_risk; recent_critical_breach
EH-000195,2026-01-06 02:00:00+00:00,MACH-02-01-02,vibration,mm_s,calculated,0.358286,64.771429,True,sensor_trend_moving_toward_risk; recent_critical_breach
EH-000279,2026-01-08 02:00:00+00:00,MACH-03-01-02,vibration,mm_s,calculated,0.174250,42.155000,True,sensor_trend_moving_toward_risk; repeated_warning_breaches
EH-000019,2026-01-01 02:00:00+00:00,MACH-02-02-01,vibration,mm_s,insufficient_history,0.000000,0.000000,False,insufficient_history
EH-000460,2026-01-13 12:00:00+00:00,MACH-03-01-02,temperature,celsius,calculated,1.711429,80.151143,True,sensor_trend_moving_toward_risk; recent_critical_breach
EH-000373,2026-01-11 02:00:00+00:00,MACH-02-01-01,vibration,mm_s,calculated,0.234714,87.174571,True,sensor_trend_moving_toward_risk; repeated_warning_breaches; recent_critical_breach
EH-000449,2026-01-13 02:00:00+00:00,MACH-02-01-03,vibration,mm_s,calculated,0.229429,18.117143,False,sensor_trend_moving_toward_risk
EH-000215,2026-01-06 02:00:00+00:00,MACH-03-02-03,vibration,mm_s,calculated,0.531314,47.035771,True,sensor_trend_moving_toward_risk; repeated_warning_breaches
EH-000501,2026-01-14 02:00:00+00:00,MACH-03-02-02,vibration,mm_s,calculated,0.204571,18.092857,False,sensor_trend_moving_toward_risk
EH-000471,2026-01-14 02:00:00+00:00,MACH-01-01-02,vibration,mm_s,calculated,0.032893,16.284714,False,sensor_trend_moving_toward_risk
EH-000499,2026-01-14 02:00:00+00:00,MACH-03-02-01,vibration,mm_s,calculated,0.107357,16.938286,False,sensor_trend_moving_toward_risk
EH-000491,2026-01-14 02:00:00+00:00,MACH-02-02-03,vibration,mm_s,calculated,-0.303786,15.022000,False,calculated
EH-000181,2026-01-06 02:00:00+00:00,MACH-01-01-01,vibration,mm_s,calculated,0.235686,43.284229,True,sensor_trend_moving_toward_risk; repeated_warning_breaches
EH-000199,2026-01-06 02:00:00+00:00,MACH-02-02-01,vibration,mm_s,calculated,0.054800,41.277600,True,sensor_trend_moving_toward_risk; repeated_warning_breaches
EH-000493,2026-01-14 02:00:00+00:00,MACH-03-01-01,vibration,mm_s,calculated,-0.043571,15.342000,False,calculated
EH-000354,2026-01-10 12:00:00+00:00,MACH-03-01-03,temperature,celsius,calculated,1.789679,81.192143,True,sensor_trend_moving_toward_risk; recent_critical_breach
EH-000333,2026-01-10 02:00:00+00:00,MACH-01-02-02,vibration,mm_s,calculated,-0.027857,16.006000,False,calculated
EH-000390,2026-01-11 12:00:00+00:00,MACH-03-01-03,temperature,celsius,calculated,1.058393,72.292714,True,sensor_trend_moving_toward_risk; recent_critical_breach
EH-000427,2026-01-12 02:00:00+00:00,MACH-03-02-01,vibration,mm_s,calculated,0.298536,18.712429,False,sensor_trend_moving_toward_risk
EH-000363,2026-01-11 02:00:00+00:00,MACH-01-01-02,vibration,mm_s,calculated,0.300429,19.513143,False,sensor_trend_moving_toward_risk
EH-000479,2026-01-14 02:00:00+00:00,MACH-01-02-03,vibration,mm_s,calculated,-0.316679,59.242000,True,recent_critical_breach
EH-000385,2026-01-11 02:00:00+00:00,MACH-03-01-01,vibration,mm_s,calculated,-0.275107,15.168000,False,calculated
EH-000329,2026-01-10 02:00:00+00:00,MACH-01-01-03,vibration,mm_s,calculated,0.280536,18.946429,False,sensor_trend_moving_toward_risk
EH-000339,2026-01-10 02:00:00+00:00,MACH-02-01-02,vibration,mm_s,calculated,-0.142429,15.610000,False,calculated
EH-000248,2026-01-07 12:00:00+00:00,MACH-03-02-01,temperature,celsius,calculated,1.760036,80.298429,True,sensor_trend_moving_toward_risk; recent_critical_breach
EH-000426,2026-01-12 12:00:00+00:00,MACH-03-01-03,temperature,celsius,calculated,0.100143,60.543714,True,sensor_trend_moving_toward_risk; recent_critical_breach
EH-000443,2026-01-13 02:00:00+00:00,MACH-01-02-03,vibration,mm_s,calculated,-0.245250,57.050000,True,recent_critical_breach
EH-000407,2026-01-12 02:00:00+00:00,MACH-01-02-03,vibration,mm_s,calculated,0.153321,57.561857,True,sensor_trend_moving_toward_risk; recent_critical_breach
EH-000357,2026-01-10 02:00:00+00:00,MACH-03-02-02,vibration,mm_s,calculated,-0.098214,15.840000,False,calculated
EH-000287,2026-01-08 02:00:00+00:00,MACH-03-02-03,vibration,mm_s,calculated,0.184964,18.141571,False,sensor_trend_moving_toward_risk
EH-000323,2026-01-09 02:00:00+00:00,MACH-03-02-03,vibration,mm_s,calculated,-0.074107,16.088000,False,calculated
EH-000311,2026-01-09 02:00:00+00:00,MACH-02-02-03,vibration,mm_s,calculated,0.174000,17.870000,False,sensor_trend_moving_toward_risk
EH-000293,2026-01-09 02:00:00+00:00,MACH-01-01-03,vibration,mm_s,calculated,0.087250,17.059000,False,sensor_trend_moving_toward_risk
EH-000284,2026-01-08 12:00:00+00:00,MACH-03-02-01,temperature,celsius,calculated,0.772393,68.766714,True,sensor_trend_moving_toward_risk; recent_critical_breach
EH-000469,2026-01-14 02:00:00+00:00,MACH-01-01-01,vibration,mm_s,calculated,0.006357,36.096286,False,sensor_trend_moving_toward_risk; repeated_warning_breaches
EH-000257,2026-01-08 02:00:00+00:00,MACH-01-01-03,vibration,mm_s,calculated,0.013286,15.751429,False,sensor_trend_moving_toward_risk
EH-000320,2026-01-09 12:00:00+00:00,MACH-03-02-01,temperature,celsius,calculated,-0.040821,59.672000,True,recent_critical_breach
EH-000167,2026-01-05 02:00:00+00:00,MACH-02-02-03,vibration,mm_s,calculated,0.736900,23.474800,False,sensor_trend_moving_toward_risk
EH-000227,2026-01-07 02:00:00+00:00,MACH-01-02-03,vibration,mm_s,calculated,-0.012357,16.020000,False,calculated
EH-000245,2026-01-07 02:00:00+00:00,MACH-03-01-03,vibration,mm_s,calculated,-0.035429,14.820000,False,calculated
EH-000147,2026-01-05 02:00:00+00:00,MACH-01-01-02,vibration,mm_s,calculated,0.565100,22.515200,False,sensor_trend_moving_toward_risk
EH-000431,2026-01-12 02:00:00+00:00,MACH-03-02-03,vibration,mm_s,calculated,-0.053464,35.952000,False,repeated_warning_breaches
EH-000481,2026-01-14 02:00:00+00:00,MACH-02-01-01,vibration,mm_s,calculated,-0.440464,35.730000,False,repeated_warning_breaches
EH-000209,2026-01-06 02:00:00+00:00,MACH-03-01-03,vibration,mm_s,calculated,-0.038457,14.864000,False,calculated
EH-000231,2026-01-07 02:00:00+00:00,MACH-02-01-02,vibration,mm_s,calculated,0.181929,61.549143,True,sensor_trend_moving_toward_risk; recent_critical_breach
EH-000177,2026-01-05 02:00:00+00:00,MACH-03-02-02,vibration,mm_s,calculated,0.279500,18.196000,False,sensor_trend_moving_toward_risk
EH-000271,2026-01-08 02:00:00+00:00,MACH-02-02-01,vibration,mm_s,calculated,-0.026107,38.430000,False,repeated_warning_breaches
EH-000455,2026-01-13 02:00:00+00:00,MACH-02-02-03,vibration,mm_s,calculated,-0.165107,34.260000,False,repeated_warning_breaches
EH-000478,2026-01-14 12:00:00+00:00,MACH-01-02-02,temperature,celsius,calculated,-0.029393,14.484000,False,calculated
EH-000214,2026-01-06 12:00:00+00:00,MACH-03-02-02,temperature,celsius,calculated,-0.477171,59.646000,True,recent_critical_breach
EH-000178,2026-01-05 12:00:00+00:00,MACH-03-02-02,temperature,celsius,calculated,0.331900,63.798800,True,sensor_trend_moving_toward_risk; recent_critical_breach
EH-000504,2026-01-14 12:00:00+00:00,MACH-03-02-03,temperature,celsius,calculated,-0.231107,14.546000,False,calculated
EH-000434,2026-01-13 12:00:00+00:00,MACH-01-01-01,temperature,celsius,calculated,0.024071,14.796857,False,sensor_trend_moving_toward_risk
EH-000486,2026-01-14 12:00:00+00:00,MACH-02-01-03,temperature,celsius,calculated,0.032571,14.838857,False,sensor_trend_moving_toward_risk
EH-000117,2026-01-04 02:00:00+00:00,MACH-01-02-02,vibration,mm_s,insufficient_history,0.000000,0.000000,False,insufficient_history
EH-000081,2026-01-03 02:00:00+00:00,MACH-01-02-02,vibration,mm_s,insufficient_history,0.000000,0.000000,False,insufficient_history
EH-000470,2026-01-14 12:00:00+00:00,MACH-01-01-01,temperature,celsius,calculated,-0.025714,14.634000,False,calculated
EH-000452,2026-01-13 12:00:00+00:00,MACH-02-02-01,temperature,celsius,calculated,-0.019000,14.442000,False,calculated
EH-000251,2026-01-07 02:00:00+00:00,MACH-03-02-03,vibration,mm_s,calculated,0.198750,38.747000,False,sensor_trend_moving_toward_risk; repeated_warning_breaches
EH-000383,2026-01-11 02:00:00+00:00,MACH-02-02-03,vibration,mm_s,calculated,0.011429,33.857143,False,sensor_trend_moving_toward_risk; repeated_warning_breaches
EH-000468,2026-01-13 12:00:00+00:00,MACH-03-02-03,temperature,celsius,calculated,-0.204786,14.526000,False,calculated
EH-000442,2026-01-13 12:00:00+00:00,MACH-01-02-02,temperature,celsius,calculated,0.145857,16.296286,False,sensor_trend_moving_toward_risk
EH-000450,2026-01-13 12:00:00+00:00,MACH-02-01-03,temperature,celsius,calculated,0.182929,16.831143,False,sensor_trend_moving_toward_risk
EH-000484,2026-01-14 12:00:00+00:00,MACH-02-01-02,temperature,celsius,calculated,0.376893,19.386714,False,sensor_trend_moving_toward_risk
EH-000502,2026-01-14 12:00:00+00:00,MACH-03-02-02,temperature,celsius,calculated,0.265679,17.746143,False,sensor_trend_moving_toward_risk
EH-000378,2026-01-11 12:00:00+00:00,MACH-02-01-03,temperature,celsius,calculated,0.249464,17.547571,False,sensor_trend_moving_toward_risk
EH-000492,2026-01-14 12:00:00+00:00,MACH-02-02-03,temperature,celsius,calculated,0.099321,15.959857,False,sensor_trend_moving_toward_risk
EH-000416,2026-01-12 12:00:00+00:00,MACH-02-02-01,temperature,celsius,calculated,0.008036,14.688429,False,sensor_trend_moving_toward_risk
EH-000488,2026-01-14 12:00:00+00:00,MACH-02-02-01,temperature,celsius,calculated,-0.074714,14.416000,False,calculated
EH-000472,2026-01-14 12:00:00+00:00,MACH-01-01-02,temperature,celsius,calculated,0.015679,14.928143,False,sensor_trend_moving_toward_risk
EH-000474,2026-01-14 12:00:00+00:00,MACH-01-01-03,temperature,celsius,calculated,-0.265214,14.472000,False,calculated
EH-000490,2026-01-14 12:00:00+00:00,MACH-02-02-02,temperature,celsius,calculated,0.011571,14.590857,False,sensor_trend_moving_toward_risk
EH-000073,2026-01-03 02:00:00+00:00,MACH-01-01-01,vibration,mm_s,insufficient_history,0.000000,0.000000,False,insufficient_history
EH-000480,2026-01-14 12:00:00+00:00,MACH-01-02-03,temperature,celsius,calculated,0.115429,15.739143,False,sensor_trend_moving_toward_risk
EH-000482,2026-01-14 12:00:00+00:00,MACH-02-01-01,temperature,celsius,calculated,0.035643,15.267714,False,sensor_trend_moving_toward_risk
EH-000388,2026-01-11 12:00:00+00:00,MACH-03-01-02,temperature,celsius,calculated,-0.323929,14.218000,False,calculated
EH-000406,2026-01-12 12:00:00+00:00,MACH-01-02-02,temperature,celsius,calculated,0.076679,15.436143,False,sensor_trend_moving_toward_risk
EH-000500,2026-01-14 12:00:00+00:00,MACH-03-02-01,temperature,celsius,calculated,-0.080857,14.388000,False,calculated
EH-000432,2026-01-12 12:00:00+00:00,MACH-03-02-03,temperature,celsius,calculated,-0.350750,14.124000,False,calculated
EH-000466,2026-01-13 12:00:00+00:00,MACH-03-02-02,temperature,celsius,calculated,0.294036,18.448429,False,sensor_trend_moving_toward_risk
EH-000498,2026-01-14 12:00:00+00:00,MACH-03-01-03,temperature,celsius,calculated,-2.276571,14.146000,False,calculated
EH-000476,2026-01-14 12:00:00+00:00,MACH-01-02-01,temperature,celsius,calculated,0.027714,15.182571,False,sensor_trend_moving_toward_risk
EH-000415,2026-01-12 02:00:00+00:00,MACH-02-02-01,vibration,mm_s,calculated,-0.400786,12.010000,False,calculated
EH-000483,2026-01-14 02:00:00+00:00,MACH-02-01-02,vibration,mm_s,calculated,-0.281464,14.206000,False,calculated
EH-000494,2026-01-14 12:00:00+00:00,MACH-03-01-01,temperature,celsius,calculated,-0.303679,14.306000,False,calculated
EH-000448,2026-01-13 12:00:00+00:00,MACH-02-01-02,temperature,celsius,calculated,0.217214,17.380571,False,sensor_trend_moving_toward_risk
EH-000313,2026-01-09 02:00:00+00:00,MACH-03-01-01,vibration,mm_s,calculated,-0.245536,35.044000,False,repeated_warning_breaches
EH-000423,2026-01-12 02:00:00+00:00,MACH-03-01-02,vibration,mm_s,calculated,-0.131500,8.720000,False,calculated
EH-000362,2026-01-11 12:00:00+00:00,MACH-01-01-01,temperature,celsius,calculated,0.008857,14.548286,False,sensor_trend_moving_toward_risk
EH-000217,2026-01-07 02:00:00+00:00,MACH-01-01-01,vibration,mm_s,calculated,0.051036,39.418429,False,sensor_trend_moving_toward_risk; repeated_warning_breaches
EH-000207,2026-01-06 02:00:00+00:00,MACH-03-01-02,vibration,mm_s,calculated,-0.168229,34.548000,False,repeated_warning_breaches
EH-000387,2026-01-11 02:00:00+00:00,MACH-03-01-02,vibration,mm_s,calculated,-0.052357,12.644000,False,calculated
EH-000458,2026-01-13 12:00:00+00:00,MACH-03-01-01,temperature,celsius,calculated,-0.162821,14.212000,False,calculated
EH-000440,2026-01-13 12:00:00+00:00,MACH-01-02-01,temperature,celsius,calculated,-0.254321,14.342000,False,calculated
EH-000438,2026-01-13 12:00:00+00:00,MACH-01-01-03,temperature,celsius,calculated,-0.064643,14.626000,False,calculated
EH-000489,2026-01-14 02:00:00+00:00,MACH-02-02-02,vibration,mm_s,calculated,-0.058107,11.340000,False,calculated
EH-000456,2026-01-13 12:00:00+00:00,MACH-02-02-03,temperature,celsius,calculated,-0.082429,14.412000,False,calculated
EH-000497,2026-01-14 02:00:00+00:00,MACH-03-01-03,vibration,mm_s,calculated,-0.045536,13.058000,False,calculated
EH-000454,2026-01-13 12:00:00+00:00,MACH-02-02-02,temperature,celsius,calculated,-0.080714,14.320000,False,calculated
EH-000444,2026-01-13 12:00:00+00:00,MACH-01-02-03,temperature,celsius,calculated,0.121786,16.109429,False,sensor_trend_moving_toward_risk
EH-000361,2026-01-11 02:00:00+00:00,MACH-01-01-01,vibration,mm_s,calculated,-0.181643,13.852000,False,calculated
EH-000436,2026-01-13 12:00:00+00:00,MACH-01-01-02,temperature,celsius,calculated,-0.263036,14.210000,False,calculated
EH-000464,2026-01-13 12:00:00+00:00,MACH-03-02-01,temperature,celsius,calculated,0.060500,15.176000,False,sensor_trend_moving_toward_risk
EH-000446,2026-01-13 12:00:00+00:00,MACH-02-01-01,temperature,celsius,calculated,0.084429,15.459143,False,sensor_trend_moving_toward_risk
EH-000133,2026-01-04 02:00:00+00:00,MACH-03-01-01,vibration,mm_s,insufficient_history,0.000000,0.000000,False,insufficient_history
EH-000459,2026-01-13 02:00:00+00:00,MACH-03-01-02,vibration,mm_s,calculated,-0.335750,12.658000,False,calculated
EH-000360,2026-01-10 12:00:00+00:00,MACH-03-02-03,temperature,celsius,calculated,-0.299464,14.206000,False,calculated
EH-000037,2026-01-02 02:00:00+00:00,MACH-01-01-01,vibration,mm_s,insufficient_history,0.000000,0.000000,False,insufficient_history
EH-000457,2026-01-13 02:00:00+00:00,MACH-03-01-01,vibration,mm_s,calculated,-0.093071,13.410000,False,calculated
EH-000129,2026-01-04 02:00:00+00:00,MACH-02-02-02,vibration,mm_s,insufficient_history,0.000000,0.000000,False,insufficient_history
EH-000398,2026-01-12 12:00:00+00:00,MACH-01-01-01,temperature,celsius,calculated,0.005571,14.686857,False,sensor_trend_moving_toward_risk
EH-000462,2026-01-13 12:00:00+00:00,MACH-03-01-03,temperature,celsius,calculated,-1.038286,14.160000,False,calculated
EH-000334,2026-01-10 12:00:00+00:00,MACH-01-02-02,temperature,celsius,calculated,-0.233357,14.272000,False,calculated
EH-000370,2026-01-11 12:00:00+00:00,MACH-01-02-02,temperature,celsius,calculated,0.034393,15.000714,False,sensor_trend_moving_toward_risk
EH-000435,2026-01-13 02:00:00+00:00,MACH-01-01-02,vibration,mm_s,calculated,0.085179,13.464143,False,sensor_trend_moving_toward_risk
EH-000377,2026-01-11 02:00:00+00:00,MACH-02-01-03,vibration,mm_s,calculated,-0.392929,9.616000,False,calculated
