critical_threshold,degradation_index,line_id,machine_id,maintenance_state,measurement,measurement_unit,operating_mode,plant_id,runtime_hours,sensor_event_id,sensor_id,sensor_type,service_hours_since_maintenance,threshold_status,timestamp,warning_threshold,event_timestamp,event_date,production_line_id,sensor_value,source_threshold_status,distance_from_warning_threshold,distance_from_critical_threshold,normalised_distance_to_nearest_threshold,warning_breach_flag,critical_breach_flag,near_warning_flag,near_critical_flag,near_threshold_flag,calculated_threshold_status,threshold_consistency_flag,threshold_breach_direction,threshold_margin_percentage,threshold_breach_component_score,recent_downtime_minutes,recent_produced_quantity,recent_rejected_quantity,recent_production_event_count,recent_reject_rate,quality_check_count_for_machine,quality_failure_count_for_machine,quality_alert_count_for_machine,service_interval_proxy_hours,service_overdue_indicator,utilisation_intensity,rolling_mean_3,rolling_max_3,rolling_std_3,rolling_mean_7,rolling_max_7,rolling_std_7,degradation_slope,degradation_status,degradation_signal_flag,degradation_score,degradation_reason,robust_zscore,robust_zscore_abs,robust_zscore_threshold,robust_zscore_anomaly_flag,robust_zscore_status,robust_zscore_score_0_100,isolation_forest_score,isolation_forest_score_0_100,isolation_forest_anomaly_flag,isolation_forest_status,isolation_forest_contamination,isolation_forest_score_interpretation,combined_anomaly_flag,anomaly_score_0_100,maintenance_run_id,near_threshold_component_score,anomaly_component_score,runtime_risk_score,maintenance_state_risk_score,production_context_score,quality_context_score,failure_risk_score,equipment_health_score,risk_level,maintenance_priority,risk_level_sort,recommended_action,recommendation_reason,synthetic_data_flag
8,0.894800,LINE-01-02,MACH-01-02-02,warning_monitor,7.158000,mm_s,standby,PLANT-01,193.930000,EH-000441,SENS-MACH-01-02-02-VIBRATION,vibration,240,warning,2026-01-13 02:00:00+00:00,6.500000,2026-01-13 02:00:00+00:00,2026-01-13,LINE-01-02,7.158000,warning,-0.658000,0.842000,0.438667,True,False,False,False,False,warning,True,above_upper_threshold,-10.123077,70.000000,40.000000,205.000000,3.000000,2.000000,0.014634,28,0,2,120.000000,True,0.891550,6.430333,7.158000,0.764496,5.796714,7.158000,0.969969,0.337214,calculated,True,46.942571,sensor_trend_moving_toward_risk; repeated_warning_breaches,0.000000,0.000000,3.500000,False,insufficient_history,0.000000,0.000000,0.000000,False,insufficient_history_fallback,0.050000,relative_anomaly_score_not_probability,False,0.000000,MAINT-f281a27e7d014de8,0.000000,0.000000,93.109019,60.000000,36.991870,40.000000,52.204461,47.795539,medium,medium,2,review_sensor_threshold_breach,sensor value breached warning threshold; degradation signal: sensor_trend_moving_toward_risk; repeated_warning_breaches; runtime/service proxy is elevated,True
8,0.848200,LINE-03-02,MACH-03-02-03,warning_monitor,6.786000,mm_s,standby,PLANT-03,208.750000,EH-000503,SENS-MACH-03-02-03-VIBRATION,vibration,246,warning,2026-01-14 02:00:00+00:00,6.500000,2026-01-14 02:00:00+00:00,2026-01-14,LINE-03-02,6.786000,warning,-0.286000,1.214000,0.190667,True,False,False,False,False,warning,True,above_upper_threshold,-4.400000,70.000000,40.000000,209.000000,4.000000,2.000000,0.019139,28,10,11,120.000000,True,0.959682,5.867333,6.786000,1.060720,6.212429,6.786000,0.758023,-0.032821,calculated,True,41.964000,repeated_warning_breaches,0.000000,0.000000,3.500000,False,insufficient_history,0.000000,0.000000,0.000000,False,insufficient_history_fallback,0.050000,relative_anomaly_score_not_probability,False,0.000000,MAINT-f281a27e7d014de8,0.000000,0.000000,97.041246,60.000000,38.118022,100.000000,51.854888,48.145112,medium,medium,2,review_sensor_threshold_breach,sensor value breached warning threshold; degradation signal: repeated_warning_breaches; runtime/service proxy is elevated,True
8,0.912500,LINE-02-02,MACH-02-02-01,warning_monitor,7.300000,mm_s,standby,PLANT-02,209.010000,EH-000487,SENS-MACH-02-02-01-VIBRATION,vibration,247,warning,2026-01-14 02:00:00+00:00,6.500000,2026-01-14 02:00:00+00:00,2026-01-14,LINE-02-02,7.300000,warning,-0.800000,0.700000,0.466667,True,False,False,False,False,warning,True,above_upper_threshold,-12.307692,70.000000,0.000000,226.000000,5.000000,2.000000,0.022124,28,5,7,120.000000,True,0.960877,6.478667,7.332000,1.184240,5.516286,7.332000,1.201219,0.370214,calculated,True,47.692571,sensor_trend_moving_toward_risk; repeated_warning_breaches,0.000000,0.000000,3.500000,False,insufficient_history,0.000000,0.000000,0.000000,False,insufficient_history_fallback,0.050000,relative_anomaly_score_not_probability,False,0.000000,MAINT-f281a27e7d014de8,0.000000,0.000000,97.341018,60.000000,5.530973,100.000000,51.416216,48.583784,medium,medium,2,review_sensor_threshold_breach,sensor value breached warning threshold; degradation signal: sensor_trend_moving_toward_risk; repeated_warning_breaches; runtime/service proxy is elevated,True
8,0.837900,LINE-01-01,MACH-01-01-03,warning_monitor,6.703000,mm_s,standby,PLANT-01,193.740000,EH-000437,SENS-MACH-01-01-03-VIBRATION,vibration,236,warning,2026-01-13 02:00:00+00:00,6.500000,2026-01-13 02:00:00+00:00,2026-01-13,LINE-01-01,6.703000,warning,-0.203000,1.297000,0.135333,True,False,False,False,False,warning,True,above_upper_threshold,-3.123077,70.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,120.000000,True,0.890677,6.808667,6.882000,0.076570,6.313286,6.882000,0.631534,0.254107,calculated,True,44.807286,sensor_trend_moving_toward_risk; repeated_warning_breaches,0.000000,0.000000,3.500000,False,insufficient_history,0.000000,0.000000,0.000000,False,insufficient_history_fallback,0.050000,relative_anomaly_score_not_probability,False,0.000000,MAINT-f281a27e7d014de8,0.000000,0.000000,92.046701,60.000000,0.000000,0.000000,49.768462,50.231538,medium,medium,2,review_sensor_threshold_breach,sensor value breached warning threshold; degradation signal: sensor_trend_moving_toward_risk; repeated_warning_breaches; runtime/service proxy is elevated,True
8,0.855100,LINE-01-01,MACH-01-01-03,warning_monitor,6.841000,mm_s,standby,PLANT-01,177.970000,EH-000401,SENS-MACH-01-01-03-VIBRATION,vibration,222,warning,2026-01-12 02:00:00+00:00,6.500000,2026-01-12 02:00:00+00:00,2026-01-12,LINE-01-01,6.841000,warning,-0.341000,1.159000,0.227333,True,False,False,False,False,warning,True,above_upper_threshold,-5.246154,70.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,120.000000,True,0.818178,6.651667,6.882000,0.297221,5.988429,6.882000,0.882511,0.400321,calculated,True,46.905857,sensor_trend_moving_toward_risk; repeated_warning_breaches,0.000000,0.000000,3.500000,False,insufficient_history,0.000000,0.000000,0.000000,False,insufficient_history_fallback,0.050000,relative_anomaly_score_not_probability,False,0.000000,MAINT-f281a27e7d014de8,0.000000,0.000000,85.898122,60.000000,0.000000,0.000000,49.265890,50.734110,medium,medium,2,review_sensor_threshold_breach,sensor value breached warning threshold; degradation signal: sensor_trend_moving_toward_risk; repeated_warning_breaches; runtime/service proxy is elevated,True
8,0.903100,LINE-02-01,MACH-02-01-01,warning_monitor,7.225000,mm_s,standby,PLANT-02,192.490000,EH-000445,SENS-MACH-02-01-01-VIBRATION,vibration,227,warning,2026-01-13 02:00:00+00:00,6.500000,2026-01-13 02:00:00+00:00,2026-01-13,LINE-02-01,7.225000,warning,-0.725000,0.775000,0.483333,True,False,False,False,False,warning,True,above_upper_threshold,-11.153846,70.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,120.000000,True,0.884930,6.618667,7.225000,0.634290,6.960571,8.501000,0.781824,-0.091893,calculated,True,43.062000,repeated_warning_breaches,0.000000,0.000000,3.500000,False,insufficient_history,0.000000,0.000000,0.000000,False,insufficient_history_fallback,0.050000,relative_anomaly_score_not_probability,False,0.000000,MAINT-f281a27e7d014de8,0.000000,0.000000,89.524142,60.000000,0.000000,0.000000,49.041021,50.958979,medium,medium,2,review_sensor_threshold_breach,sensor value breached warning threshold; degradation signal: repeated_warning_breaches; runtime/service proxy is elevated,True
8,0.868800,LINE-02-02,MACH-02-02-03,warning_monitor,6.950000,mm_s,standby,PLANT-02,176.110000,EH-000419,SENS-MACH-02-02-03-VIBRATION,vibration,223,warning,2026-01-12 02:00:00+00:00,6.500000,2026-01-12 02:00:00+00:00,2026-01-12,LINE-02-02,6.950000,warning,-0.450000,1.050000,0.300000,True,False,False,False,False,warning,True,above_upper_threshold,-6.923077,70.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,120.000000,True,0.809627,5.961000,7.445000,1.760313,5.740714,7.445000,1.427178,0.196214,calculated,True,44.730571,sensor_trend_moving_toward_risk; repeated_warning_breaches,0.000000,0.000000,3.500000,False,insufficient_history,0.000000,0.000000,0.000000,False,insufficient_history_fallback,0.050000,relative_anomaly_score_not_probability,False,0.000000,MAINT-f281a27e7d014de8,0.000000,0.000000,85.856776,60.000000,0.000000,0.000000,48.824631,51.175369,medium,medium,2,review_sensor_threshold_breach,sensor value breached warning threshold; degradation signal: sensor_trend_moving_toward_risk; repeated_warning_breaches; runtime/service proxy is elevated,True
8,0.850200,LINE-02-02,MACH-02-02-02,warning_monitor,6.802000,mm_s,standby,PLANT-02,177.460000,EH-000417,SENS-MACH-02-02-02-VIBRATION,vibration,221,warning,2026-01-12 02:00:00+00:00,6.500000,2026-01-12 02:00:00+00:00,2026-01-12,LINE-02-02,6.802000,warning,-0.302000,1.198000,0.201333,True,False,False,False,False,warning,True,above_upper_threshold,-4.646154,70.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,120.000000,True,0.815833,6.143667,7.137000,1.175885,5.582429,7.137000,1.025653,0.230250,calculated,True,44.767000,sensor_trend_moving_toward_risk; repeated_warning_breaches,0.000000,0.000000,3.500000,False,insufficient_history,0.000000,0.000000,0.000000,False,insufficient_history_fallback,0.050000,relative_anomaly_score_not_probability,False,0.000000,MAINT-f281a27e7d014de8,0.000000,0.000000,85.558124,60.000000,0.000000,0.000000,48.787119,51.212881,medium,medium,2,review_sensor_threshold_breach,sensor value breached warning threshold; degradation signal: sensor_trend_moving_toward_risk; repeated_warning_breaches; runtime/service proxy is elevated,True
8,0.815100,LINE-01-01,MACH-01-01-01,warning_monitor,6.521000,mm_s,standby,PLANT-01,176.740000,EH-000397,SENS-MACH-01-01-01-VIBRATION,vibration,218,warning,2026-01-12 02:00:00+00:00,6.500000,2026-01-12 02:00:00+00:00,2026-01-12,LINE-01-01,6.521000,warning,-0.021000,1.479000,0.014000,True,False,False,False,False,warning,True,above_upper_threshold,-0.323077,70.000000,0.000000,206.000000,10.000000,2.000000,0.048544,28,2,3,120.000000,True,0.812523,5.862333,6.521000,0.465793,5.885714,7.189000,0.749290,0.066429,calculated,True,42.099143,sensor_trend_moving_toward_risk; repeated_warning_breaches,0.000000,0.000000,3.500000,False,insufficient_history,0.000000,0.000000,0.000000,False,insufficient_history_fallback,0.050000,relative_anomaly_score_not_probability,False,0.000000,MAINT-f281a27e7d014de8,0.000000,0.000000,84.668463,60.000000,12.135922,60.000000,48.726894,51.273106,medium,medium,2,review_sensor_threshold_breach,sensor value breached warning threshold; degradation signal: sensor_trend_moving_toward_risk; repeated_warning_breaches; runtime/service proxy is elevated,True
8,0.816300,LINE-03-02,MACH-03-02-03,warning_monitor,6.530000,mm_s,standby,PLANT-03,161.670000,EH-000395,SENS-MACH-03-02-03-VIBRATION,vibration,204,warning,2026-01-11 02:00:00+00:00,6.500000,2026-01-11 02:00:00+00:00,2026-01-11,LINE-03-02,6.530000,warning,-0.030000,1.470000,0.020000,True,False,False,False,False,warning,True,above_upper_threshold,-0.461538,70.000000,15.000000,197.000000,10.000000,2.000000,0.050761,28,10,11,120.000000,True,0.743242,6.505333,6.551000,0.050467,6.225857,6.887000,0.709758,0.049750,calculated,True,41.923000,sensor_trend_moving_toward_risk; repeated_warning_breaches,0.000000,0.000000,3.500000,False,insufficient_history,0.000000,0.000000,0.000000,False,insufficient_history_fallback,0.050000,relative_anomaly_score_not_probability,False,0.000000,MAINT-f281a27e7d014de8,0.000000,0.000000,78.632518,60.000000,25.190355,100.000000,48.438995,51.561005,medium,medium,2,review_sensor_threshold_breach,sensor value breached warning threshold; degradation signal: sensor_trend_moving_toward_risk; repeated_warning_breaches; runtime/service proxy is elevated,True
8,0.861000,LINE-02-01,MACH-02-01-01,warning_monitor,6.888000,mm_s,standby,PLANT-02,176.290000,EH-000409,SENS-MACH-02-01-01-VIBRATION,vibration,213,warning,2026-01-12 02:00:00+00:00,6.500000,2026-01-12 02:00:00+00:00,2026-01-12,LINE-02-01,6.888000,warning,-0.388000,1.112000,0.258667,True,False,False,False,False,warning,True,above_upper_threshold,-5.969231,70.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,120.000000,True,0.810454,6.425667,6.888000,0.492725,6.574429,8.501000,1.140908,0.131607,calculated,True,43.799286,sensor_trend_moving_toward_risk; repeated_warning_breaches,0.000000,0.000000,3.500000,False,insufficient_history,0.000000,0.000000,0.000000,False,insufficient_history_fallback,0.050000,relative_anomaly_score_not_probability,False,0.000000,MAINT-f281a27e7d014de8,0.000000,0.000000,83.306374,60.000000,0.000000,0.000000,48.255813,51.744187,medium,medium,2,review_sensor_threshold_breach,sensor value breached warning threshold; degradation signal: sensor_trend_moving_toward_risk; repeated_warning_breaches; runtime/service proxy is elevated,True
8,0.824600,LINE-03-01,MACH-03-01-02,warning_monitor,6.597000,mm_s,standby,PLANT-03,145.880000,EH-000351,SENS-MACH-03-01-02-VIBRATION,vibration,199,warning,2026-01-10 02:00:00+00:00,6.500000,2026-01-10 02:00:00+00:00,2026-01-10,LINE-03-01,6.597000,warning,-0.097000,1.403000,0.064667,True,False,False,False,False,warning,True,above_upper_threshold,-1.492308,70.000000,25.000000,190.000000,4.000000,2.000000,0.021053,28,0,5,120.000000,True,0.670651,5.710333,6.597000,0.881557,5.890429,6.923000,1.135953,-0.110679,calculated,True,41.492000,repeated_warning_breaches,0.000000,0.000000,3.500000,False,insufficient_history,0.000000,0.000000,0.000000,False,insufficient_history_fallback,0.050000,relative_anomaly_score_not_probability,False,0.000000,MAINT-f281a27e7d014de8,0.000000,0.000000,74.802149,60.000000,26.096491,100.000000,47.823547,52.176453,medium,medium,2,review_sensor_threshold_breach,sensor value breached warning threshold; degradation signal: repeated_warning_breaches; runtime/service proxy is elevated,True
8,0.861800,LINE-03-01,MACH-03-01-02,warning_monitor,6.894000,mm_s,standby,PLANT-03,208.980000,EH-000495,SENS-MACH-03-01-02-VIBRATION,vibration,238,warning,2026-01-14 02:00:00+00:00,6.500000,2026-01-14 02:00:00+00:00,2026-01-14,LINE-03-01,6.894000,warning,-0.394000,1.106000,0.262667,True,False,False,False,False,warning,True,above_upper_threshold,-6.061538,70.000000,50.000000,205.000000,10.000000,2.000000,0.048780,28,0,5,120.000000,True,0.960739,5.148333,6.894000,1.391802,5.376286,6.894000,1.117058,0.021607,calculated,False,17.495286,sensor_trend_moving_toward_risk,0.000000,0.000000,3.500000,False,insufficient_history,0.000000,0.000000,0.000000,False,insufficient_history_fallback,0.050000,relative_anomaly_score_not_probability,False,0.000000,MAINT-f281a27e7d014de8,0.000000,0.000000,95.014762,60.000000,53.861789,100.000000,47.444361,52.555639,medium,medium,2,review_sensor_threshold_breach,sensor value breached warning threshold; runtime/service proxy is elevated,True
