inspection_id,inspection_timestamp,plant_id,line_id,machine_id,batch_id,product_id,quality_metric,sample_size,defective_units,measured_value,lower_specification_limit,upper_specification_limit,inspection_result,defect_category,severity,inspection_date,production_line_id,measurement_unit,specification_center,specification_range,distance_from_lower_limit,distance_from_upper_limit,normalised_distance_to_nearest_limit,within_specification_flag,below_lower_limit_flag,above_upper_limit_flag,near_limit_flag,warning_limit_flag,specification_failure_direction,specification_margin_percentage,source_inspection_result,calculated_specification_result,specification_consistency_flag,defective_unit_rate,event_id,event_timestamp,produced_quantity,accepted_quantity,rejected_quantity,cycle_time_seconds,target_cycle_time_seconds,downtime_duration_minutes,operating_status,production_yield,first_pass_yield_proxy,first_pass_yield_method,scrap_rate,cycle_time_ratio,baseline_observation_count,center_line,process_standard_deviation,upper_control_limit,lower_control_limit,point_deviation_from_center,outside_control_limit_flag,baseline_method,control_chart_status,spc_rule_codes,spc_signal_flag,spc_triggering_window,spc_evaluation_status,robust_zscore,robust_zscore_abs,robust_zscore_threshold,robust_zscore_anomaly_flag,robust_zscore_status,robust_zscore_score_0_100,isolation_forest_score,isolation_forest_score_0_100,isolation_forest_anomaly_flag,isolation_forest_status,isolation_forest_contamination,isolation_forest_score_interpretation,combined_anomaly_flag,anomaly_score_0_100,quality_run_id,synthetic_data_flag,specification_failure_component_score,near_limit_component_score,spc_signal_component_score,anomaly_component_score,defect_severity_component_score,defective_unit_rate_component_score,recurrence_component_score,quality_risk_score,risk_level,investigation_priority,risk_level_sort,recommended_action,recommendation_reason
QC-000096-1,2026-01-08 14:00:00+00:00,PLANT-03,LINE-03-02,MACH-03-02-03,BATCH-PO-20260108-LINE0302-2,PROD-008,diameter_mm,20,2,10.520000,9.500000,10.500000,fail,dimensional_variance,medium,2026-01-08,LINE-03-02,mm,10.000000,1.000000,1.020000,-0.020000,0.020000,False,False,True,False,False,above_upper_limit,2.000000,fail,fail,True,0.100000,PE-000096,2026-01-08 14:00:00+00:00,129,129,0,59.560000,60,0,running,1.000000,1.000000,accepted_quantity_over_produced_quantity_proxy,0.000000,0.992667,15,10.134200,0.551447,11.788540,8.479860,0.385800,False,expanding_prior_observations,calculated,,False,,calculated,0.000000,0.000000,3.500000,False,insufficient_history,0.000000,-0.116856,61.315704,False,retrospective_batch_diagnostic,0.050000,relative_anomaly_score_not_probability,False,61.315704,QUALITY-ea15caf8c05763b0,True,100.000000,0.000000,0.000000,61.315704,50.000000,10.000000,100.000000,59.763141,medium,medium,2,investigate_specification_failure,measurement is outside specification limits
QC-000147-1,2026-01-13 06:00:00+00:00,PLANT-02,LINE-02-01,MACH-02-01-03,BATCH-PO-20260113-LINE0201-1,PROD-008,diameter_mm,20,1,10.692000,9.500000,10.500000,fail,dimensional_variance,medium,2026-01-13,LINE-02-01,mm,10.000000,1.000000,1.192000,-0.192000,0.192000,False,False,True,False,False,above_upper_limit,19.200000,fail,fail,True,0.050000,PE-000147,2026-01-13 06:00:00+00:00,112,109,3,67.080000,60,0,running,0.973214,0.973214,accepted_quantity_over_produced_quantity_proxy,0.026786,1.118000,24,9.805792,0.660963,11.788679,7.822904,0.886208,False,expanding_prior_observations,calculated,,False,,calculated,1.636118,1.636118,3.500000,False,calculated,46.746236,-0.153432,60.089737,False,retrospective_batch_diagnostic,0.050000,relative_anomaly_score_not_probability,False,60.089737,QUALITY-ea15caf8c05763b0,True,100.000000,0.000000,0.000000,60.089737,50.000000,5.000000,100.000000,59.517947,medium,medium,2,investigate_specification_failure,measurement is outside specification limits
QC-000057-1,2026-01-05 14:00:00+00:00,PLANT-02,LINE-02-01,MACH-02-01-03,BATCH-PO-20260105-LINE0201-2,PROD-006,diameter_mm,20,2,10.530000,9.500000,10.500000,fail,dimensional_variance,medium,2026-01-05,LINE-02-01,mm,10.000000,1.000000,1.030000,-0.030000,0.030000,False,False,True,False,False,above_upper_limit,3.000000,fail,fail,True,0.100000,PE-000057,2026-01-05 14:00:00+00:00,109,106,3,50.220000,48,0,running,0.972477,0.972477,accepted_quantity_over_produced_quantity_proxy,0.027523,1.046250,9,9.677111,0.824541,12.150735,7.203487,0.852889,False,expanding_prior_observations,calculated,,False,,calculated,0.000000,0.000000,3.500000,False,insufficient_history,0.000000,-0.151036,59.151229,False,retrospective_batch_diagnostic,0.050000,relative_anomaly_score_not_probability,False,59.151229,QUALITY-ea15caf8c05763b0,True,100.000000,0.000000,0.000000,59.151229,50.000000,10.000000,60.000000,59.330246,medium,medium,2,investigate_specification_failure,measurement is outside specification limits
QC-000087-1,2026-01-08 06:00:00+00:00,PLANT-02,LINE-02-01,MACH-02-01-03,BATCH-PO-20260108-LINE0201-1,PROD-007,diameter_mm,20,2,9.344000,9.500000,10.500000,fail,dimensional_variance,medium,2026-01-08,LINE-02-01,mm,10.000000,1.000000,-0.156000,1.156000,0.156000,False,True,False,False,False,below_lower_limit,15.600000,fail,fail,True,0.100000,PE-000087,2026-01-08 06:00:00+00:00,94,91,3,61.840000,54,10,running,0.968085,0.968085,accepted_quantity_over_produced_quantity_proxy,0.031915,1.145185,14,9.819000,0.712853,11.957559,7.680441,-0.475000,False,expanding_prior_observations,calculated,,False,,calculated,0.000000,0.000000,3.500000,False,insufficient_history,0.000000,-0.143094,56.041015,False,retrospective_batch_diagnostic,0.050000,relative_anomaly_score_not_probability,False,56.041015,QUALITY-ea15caf8c05763b0,True,100.000000,0.000000,0.000000,56.041015,50.000000,10.000000,80.000000,58.708203,medium,medium,2,investigate_specification_failure,measurement is outside specification limits
QC-000108-1,2026-01-09 14:00:00+00:00,PLANT-03,LINE-03-02,MACH-03-02-03,BATCH-PO-20260109-LINE0302-2,PROD-005,diameter_mm,20,1,10.671000,9.500000,10.500000,fail,dimensional_variance,medium,2026-01-09,LINE-03-02,mm,10.000000,1.000000,1.171000,-0.171000,0.171000,False,False,True,False,False,above_upper_limit,17.100000,fail,fail,True,0.050000,PE-000108,2026-01-09 14:00:00+00:00,78,76,2,39.150000,42,5,under_target,0.974359,0.974359,accepted_quantity_over_produced_quantity_proxy,0.025641,0.932143,17,10.167529,0.527148,11.748974,8.586085,0.503471,False,expanding_prior_observations,calculated,,False,,calculated,0.000000,0.000000,3.500000,False,insufficient_history,0.000000,-0.094537,49.604482,False,retrospective_batch_diagnostic,0.050000,relative_anomaly_score_not_probability,False,49.604482,QUALITY-ea15caf8c05763b0,True,100.000000,0.000000,0.000000,49.604482,50.000000,5.000000,100.000000,57.420896,medium,medium,2,investigate_specification_failure,measurement is outside specification limits
QC-000162-1,2026-01-14 06:00:00+00:00,PLANT-03,LINE-03-02,MACH-03-02-03,BATCH-PO-20260114-LINE0302-1,PROD-008,diameter_mm,20,1,9.430000,9.500000,10.500000,fail,dimensional_variance,medium,2026-01-14,LINE-03-02,mm,10.000000,1.000000,-0.070000,1.070000,0.070000,False,True,False,False,False,below_lower_limit,7.000000,fail,fail,True,0.050000,PE-000162,2026-01-14 06:00:00+00:00,116,115,1,69.410000,60,40,degraded,0.991379,0.991379,accepted_quantity_over_produced_quantity_proxy,0.008621,1.156833,26,10.038500,0.656624,12.008373,8.068627,-0.608500,False,expanding_prior_observations,calculated,,False,,calculated,-1.057658,1.057658,3.500000,False,calculated,30.218811,-0.092415,48.491241,False,retrospective_batch_diagnostic,0.050000,relative_anomaly_score_not_probability,False,48.491241,QUALITY-ea15caf8c05763b0,True,100.000000,0.000000,0.000000,48.491241,50.000000,5.000000,100.000000,57.198248,medium,medium,2,investigate_specification_failure,measurement is outside specification limits
QC-000159-1,2026-01-14 06:00:00+00:00,PLANT-02,LINE-02-01,MACH-02-01-03,BATCH-PO-20260114-LINE0201-1,PROD-005,diameter_mm,20,3,9.385000,9.500000,10.500000,fail,dimensional_variance,medium,2026-01-14,LINE-02-01,mm,10.000000,1.000000,-0.115000,1.115000,0.115000,False,True,False,False,False,below_lower_limit,11.500000,fail,fail,True,0.150000,PE-000159,2026-01-14 06:00:00+00:00,102,99,3,47.600000,42,15,running,0.970588,0.970588,accepted_quantity_over_produced_quantity_proxy,0.029412,1.133333,26,9.941308,0.826198,12.419901,7.462715,-0.556308,False,expanding_prior_observations,calculated,,False,,calculated,-1.304527,1.304527,3.500000,False,calculated,37.272214,-0.123337,48.303417,False,retrospective_batch_diagnostic,0.050000,relative_anomaly_score_not_probability,False,48.303417,QUALITY-ea15caf8c05763b0,True,100.000000,0.000000,0.000000,48.303417,50.000000,15.000000,100.000000,57.160683,medium,medium,2,investigate_specification_failure,measurement is outside specification limits
QC-000058-1,2026-01-05 14:00:00+00:00,PLANT-02,LINE-02-02,MACH-02-02-01,BATCH-PO-20260105-LINE0202-2,PROD-007,surface_finish_ra,20,2,0.182000,0.200000,1.600000,fail,surface_finish,medium,2026-01-05,LINE-02-02,ra,0.900000,1.400000,-0.018000,1.418000,0.012857,False,True,False,False,False,below_lower_limit,1.285714,fail,fail,True,0.100000,PE-000058,2026-01-05 14:00:00+00:00,85,82,3,59.440000,54,15,running,0.964706,0.964706,accepted_quantity_over_produced_quantity_proxy,0.035294,1.100741,9,0.623889,0.882057,3.270060,-2.022282,-0.441889,False,expanding_prior_observations,calculated,,False,,calculated,0.000000,0.000000,3.500000,False,insufficient_history,0.000000,-0.102216,44.226921,False,retrospective_batch_diagnostic,0.050000,relative_anomaly_score_not_probability,False,44.226921,QUALITY-ea15caf8c05763b0,True,100.000000,0.000000,0.000000,44.226921,50.000000,10.000000,40.000000,56.345384,medium,medium,2,investigate_specification_failure,measurement is outside specification limits
QC-000114-1,2026-01-10 06:00:00+00:00,PLANT-03,LINE-03-02,MACH-03-02-03,BATCH-PO-20260110-LINE0302-1,PROD-004,diameter_mm,20,2,9.315000,9.500000,10.500000,fail,dimensional_variance,medium,2026-01-10,LINE-03-02,mm,10.000000,1.000000,-0.185000,1.185000,0.185000,False,True,False,False,False,below_lower_limit,18.500000,fail,fail,True,0.100000,PE-000114,2026-01-10 06:00:00+00:00,91,83,8,65.550000,66,25,degraded,0.912088,0.912088,accepted_quantity_over_produced_quantity_proxy,0.087912,0.993182,18,10.195500,0.525116,11.770849,8.620151,-0.880500,False,expanding_prior_observations,calculated,,False,,calculated,0.000000,0.000000,3.500000,False,insufficient_history,0.000000,-0.079712,41.825633,False,retrospective_batch_diagnostic,0.050000,relative_anomaly_score_not_probability,False,41.825633,QUALITY-ea15caf8c05763b0,True,100.000000,0.000000,0.000000,41.825633,50.000000,10.000000,100.000000,55.865127,medium,medium,2,investigate_specification_failure,measurement is outside specification limits
QC-000120-1,2026-01-10 14:00:00+00:00,PLANT-03,LINE-03-02,MACH-03-02-03,BATCH-PO-20260110-LINE0302-2,PROD-002,diameter_mm,20,3,9.400000,9.500000,10.500000,fail,dimensional_variance,medium,2026-01-10,LINE-03-02,mm,10.000000,1.000000,-0.100000,1.100000,0.100000,False,True,False,False,False,below_lower_limit,10.000000,fail,fail,True,0.150000,PE-000120,2026-01-10 14:00:00+00:00,90,88,2,53.460000,54,25,degraded,0.977778,0.977778,accepted_quantity_over_produced_quantity_proxy,0.022222,0.990000,19,10.149158,0.547623,11.792026,8.506289,-0.749158,False,expanding_prior_observations,calculated,,False,,calculated,0.000000,0.000000,3.500000,False,insufficient_history,0.000000,-0.077965,40.909097,False,retrospective_batch_diagnostic,0.050000,relative_anomaly_score_not_probability,False,40.909097,QUALITY-ea15caf8c05763b0,True,100.000000,0.000000,0.000000,40.909097,50.000000,15.000000,100.000000,55.681819,medium,medium,2,investigate_specification_failure,measurement is outside specification limits
QC-000165-1,2026-01-14 14:00:00+00:00,PLANT-02,LINE-02-01,MACH-02-01-03,BATCH-PO-20260114-LINE0201-2,PROD-003,diameter_mm,20,3,9.464000,9.500000,10.500000,fail,dimensional_variance,medium,2026-01-14,LINE-02-01,mm,10.000000,1.000000,-0.036000,1.036000,0.036000,False,True,False,False,False,below_lower_limit,3.600000,fail,fail,True,0.150000,PE-000165,2026-01-14 14:00:00+00:00,104,104,0,58.860000,60,15,running,1.000000,1.000000,accepted_quantity_over_produced_quantity_proxy,0.000000,0.981000,27,9.920704,0.817532,12.373300,7.468107,-0.456704,False,expanding_prior_observations,calculated,,False,,calculated,-1.104105,1.104105,3.500000,False,calculated,31.545846,-0.093570,36.645324,False,retrospective_batch_diagnostic,0.050000,relative_anomaly_score_not_probability,False,36.645324,QUALITY-ea15caf8c05763b0,True,100.000000,0.000000,0.000000,36.645324,50.000000,15.000000,100.000000,54.829065,medium,medium,2,investigate_specification_failure,measurement is outside specification limits
QC-000033-1,2026-01-03 14:00:00+00:00,PLANT-02,LINE-02-01,MACH-02-01-03,BATCH-PO-20260103-LINE0201-2,PROD-004,diameter_mm,20,3,7.525000,9.500000,10.500000,fail,dimensional_variance,high,2026-01-03,LINE-02-01,mm,10.000000,1.000000,-1.975000,2.975000,1.975000,False,True,False,False,False,below_lower_limit,197.500000,fail,fail,True,0.150000,PE-000033,2026-01-03 14:00:00+00:00,104,104,0,65.120000,66,10,running,1.000000,1.000000,accepted_quantity_over_produced_quantity_proxy,0.000000,0.986667,5,,,,,,False,expanding_prior_observations,insufficient_history,,False,,insufficient_history,0.000000,0.000000,3.500000,False,insufficient_history,0.000000,0.017240,6.751860,True,retrospective_batch_diagnostic,0.050000,relative_anomaly_score_not_probability,True,6.751860,QUALITY-ea15caf8c05763b0,True,100.000000,0.000000,0.000000,6.751860,85.000000,15.000000,40.000000,54.100372,medium,medium,2,investigate_specification_failure,measurement is outside specification limits; deterministic anomaly score exceeded configured threshold
QC-000048-1,2026-01-04 14:00:00+00:00,PLANT-03,LINE-03-02,MACH-03-02-03,BATCH-PO-20260104-LINE0302-2,PROD-004,diameter_mm,20,3,10.693000,9.500000,10.500000,fail,dimensional_variance,medium,2026-01-04,LINE-03-02,mm,10.000000,1.000000,1.193000,-0.193000,0.193000,False,False,True,False,False,above_upper_limit,19.300000,fail,fail,True,0.150000,PE-000048,2026-01-04 14:00:00+00:00,104,96,8,64.320000,66,5,running,0.923077,0.923077,accepted_quantity_over_produced_quantity_proxy,0.076923,0.974545,7,,,,,,False,expanding_prior_observations,insufficient_history,,False,,insufficient_history,0.000000,0.000000,3.500000,False,insufficient_history,0.000000,-0.055091,28.906654,False,retrospective_batch_diagnostic,0.050000,relative_anomaly_score_not_probability,False,28.906654,QUALITY-ea15caf8c05763b0,True,100.000000,0.000000,0.000000,28.906654,50.000000,15.000000,60.000000,53.281331,medium,medium,2,investigate_specification_failure,measurement is outside specification limits
QC-000064-1,2026-01-06 06:00:00+00:00,PLANT-02,LINE-02-02,MACH-02-02-01,BATCH-PO-20260106-LINE0202-1,PROD-006,surface_finish_ra,20,2,0.162000,0.200000,1.600000,fail,surface_finish,medium,2026-01-06,LINE-02-02,ra,0.900000,1.400000,-0.038000,1.438000,0.027143,False,True,False,False,False,below_lower_limit,2.714286,fail,fail,True,0.100000,PE-000064,2026-01-06 06:00:00+00:00,83,83,0,55.730000,48,10,under_target,1.000000,1.000000,accepted_quantity_over_produced_quantity_proxy,0.000000,1.161042,10,0.579700,0.847228,3.121385,-1.961985,-0.417700,False,expanding_prior_observations,calculated,,False,,calculated,0.000000,0.000000,3.500000,False,insufficient_history,0.000000,-0.041574,17.988092,False,retrospective_batch_diagnostic,0.050000,relative_anomaly_score_not_probability,False,17.988092,QUALITY-ea15caf8c05763b0,True,100.000000,0.000000,0.000000,17.988092,50.000000,10.000000,60.000000,51.097618,medium,medium,2,investigate_specification_failure,measurement is outside specification limits
