domain,artifact,path,exists,expected_row_count,actual_row_count,expected_file_size_bytes,actual_file_size_bytes,expected_sha256,actual_sha256,integrity_status
generation,equipment_health,data/raw/equipment_health.jsonl,True,504.000000,,260611,260611,b40760fcbc55ea3864d65c486b93717958e702ee975041296a6d1c28368c44b1,b40760fcbc55ea3864d65c486b93717958e702ee975041296a6d1c28368c44b1,passed
generation,inventory_levels,data/raw/inventory_levels.csv,True,72.000000,72.000000,6573,6573,dcf350befc3fd06b3545b23c852230eacb2b82b870dd17a60de4111af4dc63eb,dcf350befc3fd06b3545b23c852230eacb2b82b870dd17a60de4111af4dc63eb,passed
generation,production_events,data/raw/production_events.jsonl,True,168.000000,,94769,94769,d080144473f757c435a5f2f1151001f1cd7de3b1ed44a7ed53680b074d975483,d080144473f757c435a5f2f1151001f1cd7de3b1ed44a7ed53680b074d975483,passed
generation,quality_checks,data/raw/quality_checks.csv,True,168.000000,168.000000,25900,25900,7aa6d5f6bbd0b21c0065ee4452008a93eff82d9f9cc572d0b836df18b94422de,7aa6d5f6bbd0b21c0065ee4452008a93eff82d9f9cc572d0b836df18b94422de,passed
generation,sales_orders,data/raw/sales_orders.csv,True,180.000000,180.000000,20684,20684,2c6042fca0499c01b8a810b340dc9571f2a8b8e5a9c89a8d5ca2cacd806274c9,2c6042fca0499c01b8a810b340dc9571f2a8b8e5a9c89a8d5ca2cacd806274c9,passed
generation,schema_metadata,data/raw/schema_metadata.json,True,,,15491,15491,fb16d439dc187caf56619219ed03da43167a7e73e779502ed11b211eec4886af,fb16d439dc187caf56619219ed03da43167a7e73e779502ed11b211eec4886af,passed
generation,supplier_performance,data/raw/supplier_performance.csv,True,120.000000,120.000000,14793,14793,8f4746a5169034cc1803f855e7be607c48c04dac9b7f4a28a837159371a590f3,8f4746a5169034cc1803f855e7be607c48c04dac9b7f4a28a837159371a590f3,passed
generation,warehouse_movements,data/raw/warehouse_movements.csv,True,220.000000,220.000000,26670,26670,a431b9f39b1136dec1514db7710ad36990f21b89e1e066566b6611b9e5768b61,a431b9f39b1136dec1514db7710ad36990f21b89e1e066566b6611b9e5768b61,passed
ingestion,accepted_equipment_health,data/interim/accepted/equipment_health.jsonl,True,504.000000,,260611,260611,b40760fcbc55ea3864d65c486b93717958e702ee975041296a6d1c28368c44b1,b40760fcbc55ea3864d65c486b93717958e702ee975041296a6d1c28368c44b1,passed
ingestion,accepted_inventory_levels,data/interim/accepted/inventory_levels.csv,True,72.000000,72.000000,6573,6573,dcf350befc3fd06b3545b23c852230eacb2b82b870dd17a60de4111af4dc63eb,dcf350befc3fd06b3545b23c852230eacb2b82b870dd17a60de4111af4dc63eb,passed
ingestion,accepted_production_events,data/interim/accepted/production_events.jsonl,True,168.000000,,94769,94769,d080144473f757c435a5f2f1151001f1cd7de3b1ed44a7ed53680b074d975483,d080144473f757c435a5f2f1151001f1cd7de3b1ed44a7ed53680b074d975483,passed
ingestion,accepted_quality_checks,data/interim/accepted/quality_checks.csv,True,168.000000,168.000000,25900,25900,7aa6d5f6bbd0b21c0065ee4452008a93eff82d9f9cc572d0b836df18b94422de,7aa6d5f6bbd0b21c0065ee4452008a93eff82d9f9cc572d0b836df18b94422de,passed
ingestion,accepted_sales_orders,data/interim/accepted/sales_orders.csv,True,180.000000,180.000000,20684,20684,2c6042fca0499c01b8a810b340dc9571f2a8b8e5a9c89a8d5ca2cacd806274c9,2c6042fca0499c01b8a810b340dc9571f2a8b8e5a9c89a8d5ca2cacd806274c9,passed
ingestion,accepted_supplier_performance,data/interim/accepted/supplier_performance.csv,True,120.000000,120.000000,14793,14793,8f4746a5169034cc1803f855e7be607c48c04dac9b7f4a28a837159371a590f3,8f4746a5169034cc1803f855e7be607c48c04dac9b7f4a28a837159371a590f3,passed
ingestion,accepted_warehouse_movements,data/interim/accepted/warehouse_movements.csv,True,220.000000,220.000000,26670,26670,a431b9f39b1136dec1514db7710ad36990f21b89e1e066566b6611b9e5768b61,a431b9f39b1136dec1514db7710ad36990f21b89e1e066566b6611b9e5768b61,passed
inventory,inventory_diagnostics,outputs/inventory/inventory_diagnostics.json,True,,,4971,4971,2d57a725209edfa1aaaeb33cecffa5f1d43b2c8ad3d5e14604ecfdf728a6daec,2d57a725209edfa1aaaeb33cecffa5f1d43b2c8ad3d5e14604ecfdf728a6daec,passed
inventory,inventory_health,outputs/inventory/inventory_health.csv,True,72.000000,72.000000,65992,65992,c982dcaf7cd034148c08d3f4f5f4a64f8d117e771b49fc750a7047c00b7cc859,c982dcaf7cd034148c08d3f4f5f4a64f8d117e771b49fc750a7047c00b7cc859,passed
inventory,inventory_policy_inputs,outputs/inventory/inventory_policy_inputs.csv,True,72.000000,72.000000,20805,20805,99358e24d7f45a2aec3314c362594cb7fe5f98a29d44c81d4f025ad26168cd09,99358e24d7f45a2aec3314c362594cb7fe5f98a29d44c81d4f025ad26168cd09,passed
inventory,inventory_position,outputs/inventory/inventory_position.csv,True,72.000000,72.000000,22306,22306,bf23ae94b33b25022c5e6da79de89d52b1844d385767287120dfa42c8fd6e46e,bf23ae94b33b25022c5e6da79de89d52b1844d385767287120dfa42c8fd6e46e,passed
inventory,inventory_scores,outputs/inventory/inventory_scores.csv,True,72.000000,72.000000,65992,65992,c982dcaf7cd034148c08d3f4f5f4a64f8d117e771b49fc750a7047c00b7cc859,c982dcaf7cd034148c08d3f4f5f4a64f8d117e771b49fc750a7047c00b7cc859,passed
inventory,inventory_summary,outputs/inventory/inventory_summary.json,True,,,553,553,709a6ae7688f99b78bd6163290db89c440abb15b66cf2225188ff5a6ea976af4,709a6ae7688f99b78bd6163290db89c440abb15b66cf2225188ff5a6ea976af4,passed
inventory,portfolio_inventory_scores,outputs/inventory_scores.csv,True,72.000000,72.000000,65992,65992,c982dcaf7cd034148c08d3f4f5f4a64f8d117e771b49fc750a7047c00b7cc859,c982dcaf7cd034148c08d3f4f5f4a64f8d117e771b49fc750a7047c00b7cc859,passed
inventory,reorder_recommendations,outputs/inventory/reorder_recommendations.csv,True,72.000000,72.000000,24687,24687,5c6cba1d1d05ee26f94c5f95f8e3df00faeec99446395f06ffc05336b530d746,5c6cba1d1d05ee26f94c5f95f8e3df00faeec99446395f06ffc05336b530d746,passed
inventory,scenario_comparison,outputs/inventory/scenario_comparison.csv,True,5.000000,5.000000,1150,1150,6e10ef97bf3fabae62ca83daf1ed15fd84023b69a758d9972ba09dddd3c3b306,6e10ef97bf3fabae62ca83daf1ed15fd84023b69a758d9972ba09dddd3c3b306,passed
inventory,scenario_results,outputs/inventory/scenario_results.csv,True,5.000000,5.000000,1150,1150,6e10ef97bf3fabae62ca83daf1ed15fd84023b69a758d9972ba09dddd3c3b306,6e10ef97bf3fabae62ca83daf1ed15fd84023b69a758d9972ba09dddd3c3b306,passed
inventory,supplier_risk_metrics,outputs/inventory/supplier_risk_metrics.csv,True,10.000000,10.000000,1717,1717,af1e0e7af7e7bf66862cf8f6596a91cad65f71e5e248beeeba17a62cb75ddc1a,af1e0e7af7e7bf66862cf8f6596a91cad65f71e5e248beeeba17a62cb75ddc1a,passed
inventory,warehouse_demand_forecast,outputs/inventory/warehouse_demand_forecast.csv,True,112.000000,112.000000,19552,19552,46176ec3a7dea809d4b5d9972adce1c7cf57c44c60b196c2f205d11d9b3be32c,46176ec3a7dea809d4b5d9972adce1c7cf57c44c60b196c2f205d11d9b3be32c,passed
maintenance,anomaly_scores,outputs/maintenance/anomaly_scores.csv,True,504.000000,504.000000,96123,96123,393d8c3a59243c0795df34911b5e7c45f5376b1c6bd9b7106758fb4add7b6a4a,393d8c3a59243c0795df34911b5e7c45f5376b1c6bd9b7106758fb4add7b6a4a,passed
maintenance,degradation_signals,outputs/maintenance/degradation_signals.csv,True,504.000000,504.000000,66689,66689,586c40a1bd5d60c45b383173909e3f071a39c2d035d382fc47fa46f6fe5e27ae,586c40a1bd5d60c45b383173909e3f071a39c2d035d382fc47fa46f6fe5e27ae,passed
maintenance,equipment_health_features,outputs/maintenance/equipment_health_features.csv,True,504.000000,504.000000,468455,468455,9bc11958eb1935c4f60cc976db9db355bb42cca794b03deae6c9119ec3e3bfbb,9bc11958eb1935c4f60cc976db9db355bb42cca794b03deae6c9119ec3e3bfbb,passed
maintenance,equipment_health_scores,outputs/maintenance/equipment_health_scores.csv,True,504.000000,504.000000,173279,173279,c56e02d876633fa6b951ffeb0a5e10ba0f15a471a6cd83dff3a110bbf2a383a0,c56e02d876633fa6b951ffeb0a5e10ba0f15a471a6cd83dff3a110bbf2a383a0,passed
maintenance,machine_health_summary,outputs/maintenance/machine_health_summary.csv,True,18.000000,18.000000,1892,1892,b4ad807679ddb29d1067dacefd3b5764d8c2f03c47c5df1d0e40f4968d50f284,b4ad807679ddb29d1067dacefd3b5764d8c2f03c47c5df1d0e40f4968d50f284,passed
maintenance,maintenance_alert_summary,reports/maintenance_alert_summary.md,True,,,3278,3278,bd0156ce761dcc1883cc171fd7c3ef6e796f1bb9e0a87f9bffcc59f73d68b305,bd0156ce761dcc1883cc171fd7c3ef6e796f1bb9e0a87f9bffcc59f73d68b305,passed
maintenance,maintenance_alerts,outputs/maintenance/maintenance_alerts.csv,True,135.000000,135.000000,83369,83369,4726b4d5fd0f7adc50178e5339c9b97df748192680050fa5fdcbdb622e3253d7,4726b4d5fd0f7adc50178e5339c9b97df748192680050fa5fdcbdb622e3253d7,passed
maintenance,maintenance_analytics_report,reports/maintenance_analytics_report.md,True,,,3850,3850,b4049915d85ed030158b6ed032c5257e8868b4a503e3f21d0d1b5c527eab7010,b4049915d85ed030158b6ed032c5257e8868b4a503e3f21d0d1b5c527eab7010,passed
maintenance,maintenance_diagnostics,outputs/maintenance/maintenance_diagnostics.json,True,,,1962,1962,771c030ec271668eb5af7e4ce25136ce5bcc7a9c32c5182b27f34af302ee847e,771c030ec271668eb5af7e4ce25136ce5bcc7a9c32c5182b27f34af302ee847e,passed
maintenance,maintenance_risk_summary,outputs/maintenance/maintenance_risk_summary.csv,True,3.000000,3.000000,224,224,e4efeee4a7afeb781fe752d0119dd2ca7a6f7172ad8f24fe88853330737e9b49,e4efeee4a7afeb781fe752d0119dd2ca7a6f7172ad8f24fe88853330737e9b49,passed
maintenance,portfolio_maintenance_predictions,outputs/maintenance_predictions.json,True,,,13170,13170,40fe283cd2cabc7f1acddccf8ebd0605dddfcee0de9deefa4ffe5cefec8807e9,40fe283cd2cabc7f1acddccf8ebd0605dddfcee0de9deefa4ffe5cefec8807e9,passed
maintenance,sensor_health_summary,outputs/maintenance/sensor_health_summary.csv,True,36.000000,36.000000,4718,4718,910008d252e5405b6cc1f2ae7016004930c3f3f4d3bc1ab23a5eaea0cda25816,910008d252e5405b6cc1f2ae7016004930c3f3f4d3bc1ab23a5eaea0cda25816,passed
quality,anomaly_scores,outputs/quality/anomaly_scores.csv,True,168.000000,168.000000,32832,32832,3f903706b8e0e47bb2c3af7792a0eedc7867e57ca35b374bd69ce390b07d6a0a,3f903706b8e0e47bb2c3af7792a0eedc7867e57ca35b374bd69ce390b07d6a0a,passed
quality,control_chart_points,outputs/quality/control_chart_points.csv,True,168.000000,168.000000,26319,26319,c5c0b9f4e244e4a47be6f9f97c6a029b384c47f05730aca8cdd0563ee73c070b,c5c0b9f4e244e4a47be6f9f97c6a029b384c47f05730aca8cdd0563ee73c070b,passed
quality,defect_pareto,outputs/quality/defect_pareto.csv,True,51.000000,51.000000,2944,2944,469ddfea42f5b53cf9cbdeedfde331778859eeddec80b6b119e2b5dc09d1ac52,469ddfea42f5b53cf9cbdeedfde331778859eeddec80b6b119e2b5dc09d1ac52,passed
quality,portfolio_quality_alerts,outputs/quality_alerts.csv,True,38.000000,38.000000,21959,21959,36a15ebb31519685fa717e5581af27ca246f1ced09ebf50001b7d05873b2b89f,36a15ebb31519685fa717e5581af27ca246f1ced09ebf50001b7d05873b2b89f,passed
quality,process_capability,outputs/quality/process_capability.csv,True,48.000000,48.000000,7375,7375,03c236178389d6886caf5f30848ce6df6e31ed4eb84cd3964e60b768d598dd52,03c236178389d6886caf5f30848ce6df6e31ed4eb84cd3964e60b768d598dd52,passed
quality,quality_alert_summary,reports/quality_alert_summary.md,True,,,247,247,fb08a509d28f67d8dd3119c1b5fd2f2ad44a291d03fdd9f4d560d0d71f05943d,fb08a509d28f67d8dd3119c1b5fd2f2ad44a291d03fdd9f4d560d0d71f05943d,passed
quality,quality_alerts,outputs/quality/quality_alerts.csv,True,38.000000,38.000000,21959,21959,36a15ebb31519685fa717e5581af27ca246f1ced09ebf50001b7d05873b2b89f,36a15ebb31519685fa717e5581af27ca246f1ced09ebf50001b7d05873b2b89f,passed
quality,quality_analytics_report,reports/quality_analytics_report.md,True,,,2646,2646,21a4617fd8186ac74d34e228a41a4149db80a5ef3a6caf0fc3362187a2a41a5a,21a4617fd8186ac74d34e228a41a4149db80a5ef3a6caf0fc3362187a2a41a5a,passed
quality,quality_diagnostics,outputs/quality/quality_diagnostics.json,True,,,1722,1722,cd3b7f05c11cedfa5cf0710477a643bcf095a277ca087fad1d7418a5a0f574e8,cd3b7f05c11cedfa5cf0710477a643bcf095a277ca087fad1d7418a5a0f574e8,passed
quality,quality_kpis,outputs/quality/quality_kpis.csv,True,27.000000,27.000000,5756,5756,88b905775e39fa508f03687d3ce99ffe09e27846d0c2dc89148c5d8321dba947,88b905775e39fa508f03687d3ce99ffe09e27846d0c2dc89148c5d8321dba947,passed
quality,quality_observations,outputs/quality/quality_observations.csv,True,168.000000,168.000000,162056,162056,d2b694a9f88650216bca0533efcf887c3be98d5560c7c1e00f830ba7818a9515,d2b694a9f88650216bca0533efcf887c3be98d5560c7c1e00f830ba7818a9515,passed
quality,quality_risk_summary,outputs/quality/quality_risk_summary.csv,True,4.000000,4.000000,206,206,e42b49cafeb118107991611d0d5a7e82f82289437ba75abe032d97f66a0ea87c,e42b49cafeb118107991611d0d5a7e82f82289437ba75abe032d97f66a0ea87c,passed
quality,spc_signals,outputs/quality/spc_signals.csv,True,168.000000,168.000000,15521,15521,3eed8cf7a2312fc2c42a5f3a79dcd227e8ba3da1d7b6c95bdb3d77c72c62fe87,3eed8cf7a2312fc2c42a5f3a79dcd227e8ba3da1d7b6c95bdb3d77c72c62fe87,passed
